state,name,start_date,end_date
MV,Sommerferien,2022-07-04,2022-08-13
MV,Sommerferien,2022-07-11,2022-08-27
MV,Herbstferien,2022-10-10,2022-10-15
MV,Zusätzlicher Ferientag,2022-10-28,2022-10-28
MV,Zusätzlicher Ferientag,2022-11-01,2022-11-01
MV,Zusätzlicher Ferientag,2022-11-02,2022-11-02
MV,Weihnachtsferien,2022-12-22,2023-01-02
MV,Winterferien,2023-02-06,2023-02-18
MV,Osterferien,2023-04-03,2023-04-15
MV,Zusätzlicher Ferientag,2023-05-19,2023-05-19
MV,Pfingstferien,2023-05-26,2023-05-30
MV,Zusätzlicher Ferientag,2023-05-26,2023-05-26
MV,Sommerferien,2023-07-17,2023-09-01
MV,Zusätzlicher Ferientag,2023-10-02,2023-10-02
MV,Herbstferien,2023-10-09,2023-10-14
MV,Zusätzlicher Ferientag,2023-10-30,2023-10-30
MV,Zusätzlicher Ferientag,2023-11-01,2023-11-01
MV,Weihnachtsferien,2023-12-21,2024-01-03
MV,Winterferien,2024-02-05,2024-02-16
MV,Osterferien,2024-03-25,2024-04-05
MV,Zusätzlicher Ferientag,2024-05-10,2024-05-10
MV,Pfingstferien,2024-05-17,2024-05-21
MV,Sommerferien,2024-07-15,2024-08-31
MV,Sommerferien,2024-07-22,2024-08-31
MV,Zusätzlicher Ferientag,2024-10-04,2024-10-04
MV,Herbstferien,2024-10-21,2024-10-26
MV,Zusätzlicher Ferientag,2024-11-01,2024-11-01
MV,Weihnachtsferien,2024-12-23,2025-01-06
MV,Winterferien,2025-02-03,2025-02-14
MV,Osterferien,2025-04-14,2025-04-25
MV,Zusätzlicher Ferientag,2025-05-02,2025-05-02
MV,Zusätzlicher Ferientag,2025-05-30,2025-05-30
MV,Pfingstferien,2025-06-06,2025-06-10
MV,Sommerferien,2025-07-14,2025-08-30
MV,Sommerferien,2025-07-28,2025-09-06
MV,Zusätzlicher Ferientag,2025-10-01,2025-10-01
MV,Zusätzlicher Ferientag,2025-10-02,2025-10-02
MV,Herbstferien,2025-10-20,2025-10-25
MV,Zusätzlicher Ferientag,2025-11-03,2025-11-03
MV,Weihnachtsferien,2025-12-20,2026-01-03
MV,Weihnachtsferien,2025-12-22,2026-01-03
MV,Winterferien,2026-02-09,2026-02-20
MV,Osterferien,2026-03-30,2026-04-10
MV,Zusätzlicher Ferientag,2026-05-15,2026-05-15
MV,Pfingstferien,2026-05-22,2026-05-26
MV,Sommerferien,2026-07-13,2026-08-29
MV,Herbstferien,2026-10-15,2026-10-24
MV,Herbstferien,2026-10-19,2026-10-24
MV,Zusätzlicher Ferientag,2026-11-26,2026-11-26
MV,Zusätzlicher Ferientag,2026-11-27,2026-11-27
MV,Weihnachtsferien,2026-12-19,2027-01-02
MV,Weihnachtsferien,2026-12-21,2027-01-02
MV,Winterferien,2027-02-08,2027-02-19
MV,Osterferien,2027-03-22,2027-04-02
MV,Osterferien,2027-03-24,2027-04-02
MV,Zusätzlicher Ferientag,2027-05-07,2027-05-07
MV,Pfingstferien,2027-05-14,2027-05-18
MV,Sommerferien,2027-07-05,2027-08-14
MV,Sommerferien,2027-07-12,2027-08-28
MV,Herbstferien,2027-10-14,2027-10-23
MV,Herbstferien,2027-10-16,2027-10-23
MV,Zusätzlicher Ferientag,2027-11-25,2027-11-25
MV,Zusätzlicher Ferientag,2027-11-26,2027-11-26
MV,Weihnachtsferien,2027-12-22,2028-01-04
NI,Halbjahresferien,2022-01-31,2022-02-01
NI,Osterferien,2022-04-04,2022-04-19
NI,Tag nach Himmelfahrt,2022-05-27,2022-05-27
NI,Pfingstferien,2022-06-07,2022-06-07
NI,Sommerferien,2022-07-14,2022-08-24
NI,Herbstferien,2022-10-17,2022-10-28
NI,Weihnachtsferien,2022-12-23,2023-01-06
NI,Halbjahresferien,2023-01-30,2023-01-31
NI,Osterferien,2023-03-27,2023-04-11
NI,Tag nach Himmelfahrt,2023-05-19,2023-05-19
NI,Pfingstferien,2023-05-30,2023-05-30
NI,Sommerferien,2023-07-06,2023-08-16
NI,Tag vor dem 3. Oktober,2023-10-02,2023-10-02
NI,Herbstferien,2023-10-16,2023-10-30
NI,Weihnachtsferien,2023-12-27,2024-01-05
NI,Halbjahresferien,2024-02-01,2024-02-02
NI,Osterferien,2024-03-18,2024-03-28
NI,Tag nach Himmelfahrt,2024-05-10,2024-05-10
NI,Pfingstferien,2024-05-21,2024-05-21
NI,Sommerferien,2024-06-24,2024-08-03
NI,Herbstferien,2024-10-04,2024-10-19
NI,Tag nach dem Reformationstag,2024-11-01,2024-11-01
NI,Weihnachtsferien,2024-12-23,2025-01-04
NI,Halbjahresferien,2025-02-03,2025-02-04
NI,Osterferien,2025-04-07,2025-04-19
NI,Kirchentag,2025-04-30,2025-04-30
NI,Tag nach dem 1. Mai,2025-05-02,2025-05-02
NI,Tag nach Himmelfahrt,2025-05-30,2025-05-30
NI,Pfingstferien,2025-06-10,2025-06-10
NI,Sommerferien,2025-07-03,2025-08-13
NI,Herbstferien,2025-10-13,2025-10-25
NI,Weihnachtsferien,2025-12-22,2026-01-05
NI,Halbjahresferien,2026-02-02,2026-02-03
NI,Osterferien,2026-03-23,2026-04-07
NI,Tag nach Himmelfahrt,2026-05-15,2026-05-15
NI,Pfingstferien,2026-05-26,2026-05-26
NI,Sommerferien,2026-07-02,2026-08-12
NI,Herbstferien,2026-10-12,2026-10-24
NI,Weihnachtsferien,2026-12-23,2027-01-09
NI,Halbjahresferien,2027-02-01,2027-02-02
NI,Osterferien,2027-03-22,2027-04-03
NI,Tag nach Himmelfahrt,2027-05-07,2027-05-07
NI,Pfingstferien,2027-05-18,2027-05-18
NI,Sommerferien,2027-07-08,2027-08-18
NI,Herbstferien,2027-10-16,2027-10-30
NI,Weihnachtsferien,2027-12-23,2028-01-08
NW,Osterferien,2022-04-11,2022-04-23
NW,Sommerferien,2022-06-27,2022-08-09
NW,Herbstferien,2022-10-04,2022-10-15
NW,Weihnachtsferien,2022-12-23,2023-01-06
NW,Osterferien,2023-04-03,2023-04-15
NW,Pfingstferien,2023-05-30,2023-05-30
NW,Sommerferien,2023-06-22,2023-08-04
NW,Herbstferien,2023-10-02,2023-10-14
NW,Weihnachtsferien,2023-12-21,2024-01-05
NW,Osterferien,2024-03-25,2024-04-06
NW,Pfingstferien,2024-05-21,2024-05-21
NW,Sommerferien,2024-07-08,2024-08-20
NW,Herbstferien,2024-10-14,2024-10-26
NW,Weihnachtsferien,2024-12-23,2025-01-06
