date,covid_infection_rate
2021-08-17,39.9
2021-08-18,43.9
2021-08-19,47.6
2021-08-20,51.4
2021-08-21,55.0
2021-08-22,57.6
2021-08-23,58.9
2021-08-24,61.3
2021-08-25,66.0
2021-08-26,70.7
2021-08-27,74.2
2021-08-28,76.0
2021-08-29,77.9
2021-08-30,78.7
2021-08-31,79.3
2021-09-01,81.3
2021-09-02,83.7
2021-09-03,85.0
2021-09-04,87.0
2021-09-05,88.2
2021-09-06,88.6
2021-09-07,88.5
2021-09-08,89.1
2021-09-09,88.4
2021-09-10,88.1
2021-09-11,86.9
2021-09-12,85.9
2021-09-13,84.9
2021-09-14,84.8
2021-09-15,82.7
2021-09-16,80.4
2021-09-17,77.9
2021-09-18,75.3
2021-09-19,73.5
2021-09-20,72.9
2021-09-21,71.1
2021-09-22,68.6
2021-09-23,66.5
2021-09-24,65.1
2021-09-25,64.5
2021-09-26,63.7
2021-09-27,63.6
2021-09-28,64.0
2021-09-29,65.6
2021-09-30,66.7
2021-10-01,67.2
2021-10-02,67.2
2021-10-03,67.0
2021-10-04,67.0
2021-10-05,66.8
2021-10-06,66.3
2021-10-07,66.0
2021-10-08,66.8
2021-10-09,67.8
2021-10-10,68.8
2021-10-11,68.8
2021-10-12,69.5
2021-10-13,70.0
2021-10-14,71.1
2021-10-15,72.5
2021-10-16,74.8
2021-10-17,76.6
2021-10-18,77.5
2021-10-19,79.7
2021-10-20,87.4
2021-10-21,94.5
2021-10-22,101.5
2021-10-23,108.1
2021-10-24,113.8
2021-10-25,115.9
2021-10-26,120.3
2021-10-27,128.8
2021-10-28,139.9
2021-10-29,148.2
2021-10-30,155.2
2021-10-31,159.7
2021-11-01,162.4
2021-11-02,162.0
2021-11-03,159.6
2021-11-04,170.1
2021-11-05,184.5
2021-11-06,197.7
2021-11-07,205.6
2021-11-08,210.9
2021-11-09,226.0
2021-11-10,253.1
2021-11-11,270.5
2021-11-12,286.2
2021-11-13,300.9
2021-11-14,312.9
2021-11-15,321.5
2021-11-16,333.7
2021-11-17,352.4
2021-11-18,367.0
2021-11-19,380.6
2021-11-20,400.2
2021-11-21,410.1
2021-11-22,416.9
2021-11-23,431.2
2021-11-24,444.9
2021-11-25,459.7
2021-11-26,472.3
2021-11-27,474.1
2021-11-28,477.2
2021-11-29,478.1
2021-11-30,475.4
2021-12-01,474.3
2021-12-02,472.2
2021-12-03,467.7
2021-12-04,465.8
2021-12-05,462.9
2021-12-06,460.0
2021-12-07,457.8
2021-12-08,452.8
2021-12-09,444.7
2021-12-10,432.4
2021-12-11,418.9
2021-12-12,409.6
2021-12-13,400.7
2021-12-14,387.7
2021-12-15,376.9
2021-12-16,359.4
2021-12-17,347.0
2021-12-18,335.3
2021-12-19,328.1
2021-12-20,324.2
2021-12-21,318.7
2021-12-22,304.5
2021-12-23,290.9
2021-12-24,276.3
2021-12-25,253.4
2021-12-26,231.9
2021-12-27,229.8
2021-12-28,226.8
2021-12-29,221.0
2021-12-30,221.9
2021-12-31,229.6
2022-01-01,237.9
2022-01-02,242.5
2022-01-03,247.4
2022-01-04,261.0
2022-01-05,286.1
2022-01-06,313.2
2022-01-07,330.7
2022-01-08,362.7
2022-01-09,389.7
2022-01-10,400.6
2022-01-11,421.6
2022-01-12,447.2
2022-01-13,475.6
2022-01-14,508.5
2022-01-15,538.0
2022-01-16,562.1
2022-01-17,576.1
2022-01-18,610.5
2022-01-19,658.7
